byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,493,507,0.493000000,0.007000000,507,7,0,False
0,1,505,495,0.505000000,0.005000000,505,6,1,False
0,2,495,505,0.495000000,0.005000000,505,5,2,False
0,3,480,520,0.480000000,0.020000000,520,4,3,False
0,4,511,489,0.511000000,0.011000000,511,3,4,False
0,5,505,495,0.505000000,0.005000000,505,2,5,False
0,6,472,528,0.472000000,0.028000000,528,1,6,False
0,7,511,489,0.511000000,0.011000000,511,0,7,False
1,0,523,477,0.523000000,0.023000000,523,15,8,False
1,1,520,480,0.520000000,0.020000000,520,14,9,False
1,2,505,495,0.505000000,0.005000000,505,13,10,False
1,3,510,490,0.510000000,0.010000000,510,12,11,False
1,4,495,505,0.495000000,0.005000000,505,11,12,False
1,5,511,489,0.511000000,0.011000000,511,10,13,False
1,6,474,526,0.474000000,0.026000000,526,9,14,False
1,7,501,499,0.501000000,0.001000000,501,8,15,False
2,0,508,492,0.508000000,0.008000000,508,23,16,False
2,1,475,525,0.475000000,0.025000000,525,22,17,False
2,2,484,516,0.484000000,0.016000000,516,21,18,False
2,3,529,471,0.529000000,0.029000000,529,20,19,False
2,4,512,488,0.512000000,0.012000000,512,19,20,False
2,5,505,495,0.505000000,0.005000000,505,18,21,False
2,6,505,495,0.505000000,0.005000000,505,17,22,False
2,7,499,501,0.499000000,0.001000000,501,16,23,False
3,0,501,499,0.501000000,0.001000000,501,31,24,False
3,1,492,508,0.492000000,0.008000000,508,30,25,False
3,2,537,463,0.537000000,0.037000000,537,29,26,False
3,3,500,500,0.500000000,0.000000000,500,28,27,False
3,4,514,486,0.514000000,0.014000000,514,27,28,False
3,5,503,497,0.503000000,0.003000000,503,26,29,False
3,6,509,491,0.509000000,0.009000000,509,25,30,False
3,7,483,517,0.483000000,0.017000000,517,24,31,False
4,0,474,526,0.474000000,0.026000000,526,39,32,False
4,1,475,525,0.475000000,0.025000000,525,38,33,False
4,2,491,509,0.491000000,0.009000000,509,37,34,False
4,3,495,505,0.495000000,0.005000000,505,36,35,False
4,4,541,459,0.541000000,0.041000000,541,35,36,False
4,5,514,486,0.514000000,0.014000000,514,34,37,False
4,6,499,501,0.499000000,0.001000000,501,33,38,False
4,7,513,487,0.513000000,0.013000000,513,32,39,False
5,0,494,506,0.494000000,0.006000000,506,47,40,False
5,1,524,476,0.524000000,0.024000000,524,46,41,False
5,2,515,485,0.515000000,0.015000000,515,45,42,False
5,3,464,536,0.464000000,0.036000000,536,44,43,False
5,4,492,508,0.492000000,0.008000000,508,43,44,False
5,5,502,498,0.502000000,0.002000000,502,42,45,False
5,6,476,524,0.476000000,0.024000000,524,41,46,False
5,7,520,480,0.520000000,0.020000000,520,40,47,False
6,0,499,501,0.499000000,0.001000000,501,55,48,False
6,1,486,514,0.486000000,0.014000000,514,54,49,False
6,2,488,512,0.488000000,0.012000000,512,53,50,False
6,3,499,501,0.499000000,0.001000000,501,52,51,False
6,4,466,534,0.466000000,0.034000000,534,51,52,False
6,5,500,500,0.500000000,0.000000000,500,50,53,False
6,6,461,539,0.461000000,0.039000000,539,49,54,False
6,7,479,521,0.479000000,0.021000000,521,48,55,False
7,0,525,475,0.525000000,0.025000000,525,63,56,False
7,1,491,509,0.491000000,0.009000000,509,62,57,False
7,2,518,482,0.518000000,0.018000000,518,61,58,False
7,3,512,488,0.512000000,0.012000000,512,60,59,False
7,4,475,525,0.475000000,0.025000000,525,59,60,False
7,5,508,492,0.508000000,0.008000000,508,58,61,False
7,6,518,482,0.518000000,0.018000000,518,57,62,False
7,7,496,504,0.496000000,0.004000000,504,56,63,False
8,0,502,498,0.502000000,0.002000000,502,71,64,False
8,1,506,494,0.506000000,0.006000000,506,70,65,False
8,2,496,504,0.496000000,0.004000000,504,69,66,False
8,3,507,493,0.507000000,0.007000000,507,68,67,False
8,4,488,512,0.488000000,0.012000000,512,67,68,False
8,5,523,477,0.523000000,0.023000000,523,66,69,False
8,6,510,490,0.510000000,0.010000000,510,65,70,False
8,7,480,520,0.480000000,0.020000000,520,64,71,False
9,0,523,477,0.523000000,0.023000000,523,79,72,False
9,1,500,500,0.500000000,0.000000000,500,78,73,False
9,2,519,481,0.519000000,0.019000000,519,77,74,False
9,3,507,493,0.507000000,0.007000000,507,76,75,False
9,4,512,488,0.512000000,0.012000000,512,75,76,False
9,5,502,498,0.502000000,0.002000000,502,74,77,False
9,6,486,514,0.486000000,0.014000000,514,73,78,False
9,7,528,472,0.528000000,0.028000000,528,72,79,False
10,0,473,527,0.473000000,0.027000000,527,87,80,False
10,1,461,539,0.461000000,0.039000000,539,86,81,False
10,2,497,503,0.497000000,0.003000000,503,85,82,False
10,3,505,495,0.505000000,0.005000000,505,84,83,False
10,4,495,505,0.495000000,0.005000000,505,83,84,False
10,5,476,524,0.476000000,0.024000000,524,82,85,False
10,6,511,489,0.511000000,0.011000000,511,81,86,False
10,7,490,510,0.490000000,0.010000000,510,80,87,False
11,0,490,510,0.490000000,0.010000000,510,95,88,False
11,1,499,501,0.499000000,0.001000000,501,94,89,False
11,2,491,509,0.491000000,0.009000000,509,93,90,False
11,3,503,497,0.503000000,0.003000000,503,92,91,False
11,4,481,519,0.481000000,0.019000000,519,91,92,False
11,5,486,514,0.486000000,0.014000000,514,90,93,False
11,6,512,488,0.512000000,0.012000000,512,89,94,False
11,7,476,524,0.476000000,0.024000000,524,88,95,False
12,0,505,495,0.505000000,0.005000000,505,103,96,False
12,1,496,504,0.496000000,0.004000000,504,102,97,False
12,2,482,518,0.482000000,0.018000000,518,101,98,False
12,3,507,493,0.507000000,0.007000000,507,100,99,False
12,4,486,514,0.486000000,0.014000000,514,99,100,False
12,5,518,482,0.518000000,0.018000000,518,98,101,False
12,6,529,471,0.529000000,0.029000000,529,97,102,False
12,7,518,482,0.518000000,0.018000000,518,96,103,False
13,0,506,494,0.506000000,0.006000000,506,111,104,False
13,1,504,496,0.504000000,0.004000000,504,110,105,False
13,2,494,506,0.494000000,0.006000000,506,109,106,False
13,3,488,512,0.488000000,0.012000000,512,108,107,False
13,4,511,489,0.511000000,0.011000000,511,107,108,False
13,5,505,495,0.505000000,0.005000000,505,106,109,False
13,6,465,535,0.465000000,0.035000000,535,105,110,False
13,7,501,499,0.501000000,0.001000000,501,104,111,False
14,0,487,513,0.487000000,0.013000000,513,119,112,False
14,1,501,499,0.501000000,0.001000000,501,118,113,False
14,2,477,523,0.477000000,0.023000000,523,117,114,False
14,3,513,487,0.513000000,0.013000000,513,116,115,False
14,4,520,480,0.520000000,0.020000000,520,115,116,False
14,5,490,510,0.490000000,0.010000000,510,114,117,False
14,6,514,486,0.514000000,0.014000000,514,113,118,False
14,7,488,512,0.488000000,0.012000000,512,112,119,False
15,0,478,522,0.478000000,0.022000000,522,127,120,False
15,1,482,518,0.482000000,0.018000000,518,126,121,False
15,2,504,496,0.504000000,0.004000000,504,125,122,False
15,3,491,509,0.491000000,0.009000000,509,124,123,False
15,4,496,504,0.496000000,0.004000000,504,123,124,False
15,5,493,507,0.493000000,0.007000000,507,122,125,False
15,6,485,515,0.485000000,0.015000000,515,121,126,False
15,7,490,510,0.490000000,0.010000000,510,120,127,False
16,0,515,485,0.515000000,0.015000000,515,135,128,False
16,1,492,508,0.492000000,0.008000000,508,134,129,False
16,2,495,505,0.495000000,0.005000000,505,133,130,False
16,3,505,495,0.505000000,0.005000000,505,132,131,False
16,4,476,524,0.476000000,0.024000000,524,131,132,False
16,5,493,507,0.493000000,0.007000000,507,130,133,False
16,6,508,492,0.508000000,0.008000000,508,129,134,False
16,7,546,454,0.546000000,0.046000000,546,128,135,False
17,0,496,504,0.496000000,0.004000000,504,143,136,False
17,1,505,495,0.505000000,0.005000000,505,142,137,False
17,2,471,529,0.471000000,0.029000000,529,141,138,False
17,3,493,507,0.493000000,0.007000000,507,140,139,False
17,4,508,492,0.508000000,0.008000000,508,139,140,False
17,5,486,514,0.486000000,0.014000000,514,138,141,False
17,6,496,504,0.496000000,0.004000000,504,137,142,False
17,7,499,501,0.499000000,0.001000000,501,136,143,False
18,0,501,499,0.501000000,0.001000000,501,151,144,False
18,1,485,515,0.485000000,0.015000000,515,150,145,False
18,2,509,491,0.509000000,0.009000000,509,149,146,False
18,3,487,513,0.487000000,0.013000000,513,148,147,False
18,4,506,494,0.506000000,0.006000000,506,147,148,False
18,5,484,516,0.484000000,0.016000000,516,146,149,False
18,6,515,485,0.515000000,0.015000000,515,145,150,False
18,7,514,486,0.514000000,0.014000000,514,144,151,False
19,0,496,504,0.496000000,0.004000000,504,159,152,False
19,1,487,513,0.487000000,0.013000000,513,158,153,False
19,2,488,512,0.488000000,0.012000000,512,157,154,False
19,3,490,510,0.490000000,0.010000000,510,156,155,False
19,4,516,484,0.516000000,0.016000000,516,155,156,False
19,5,467,533,0.467000000,0.033000000,533,154,157,False
19,6,491,509,0.491000000,0.009000000,509,153,158,False
19,7,488,512,0.488000000,0.012000000,512,152,159,False
20,0,488,512,0.488000000,0.012000000,512,167,160,False
20,1,507,493,0.507000000,0.007000000,507,166,161,False
20,2,486,514,0.486000000,0.014000000,514,165,162,False
20,3,496,504,0.496000000,0.004000000,504,164,163,False
20,4,489,511,0.489000000,0.011000000,511,163,164,False
20,5,480,520,0.480000000,0.020000000,520,162,165,False
20,6,506,494,0.506000000,0.006000000,506,161,166,False
20,7,518,482,0.518000000,0.018000000,518,160,167,False
21,0,490,510,0.490000000,0.010000000,510,175,168,False
21,1,495,505,0.495000000,0.005000000,505,174,169,False
21,2,494,506,0.494000000,0.006000000,506,173,170,False
21,3,508,492,0.508000000,0.008000000,508,172,171,False
21,4,509,491,0.509000000,0.009000000,509,171,172,False
21,5,518,482,0.518000000,0.018000000,518,170,173,False
21,6,505,495,0.505000000,0.005000000,505,169,174,False
21,7,532,468,0.532000000,0.032000000,532,168,175,False
22,0,504,496,0.504000000,0.004000000,504,183,176,False
22,1,504,496,0.504000000,0.004000000,504,182,177,False
22,2,509,491,0.509000000,0.009000000,509,181,178,False
22,3,499,501,0.499000000,0.001000000,501,180,179,False
22,4,503,497,0.503000000,0.003000000,503,179,180,False
22,5,487,513,0.487000000,0.013000000,513,178,181,False
22,6,484,516,0.484000000,0.016000000,516,177,182,False
22,7,498,502,0.498000000,0.002000000,502,176,183,False
23,0,477,523,0.477000000,0.023000000,523,191,184,False
23,1,512,488,0.512000000,0.012000000,512,190,185,False
23,2,463,537,0.463000000,0.037000000,537,189,186,False
23,3,522,478,0.522000000,0.022000000,522,188,187,False
23,4,506,494,0.506000000,0.006000000,506,187,188,False
23,5,514,486,0.514000000,0.014000000,514,186,189,False
23,6,495,505,0.495000000,0.005000000,505,185,190,False
23,7,524,476,0.524000000,0.024000000,524,184,191,False
24,0,476,524,0.476000000,0.024000000,524,199,192,False
24,1,490,510,0.490000000,0.010000000,510,198,193,False
24,2,504,496,0.504000000,0.004000000,504,197,194,False
24,3,479,521,0.479000000,0.021000000,521,196,195,False
24,4,540,460,0.540000000,0.040000000,540,195,196,False
