byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
35,0,450,550,0.450000000,0.050000000,550,287,280,False
70,7,549,451,0.549000000,0.049000000,549,560,567,False
109,3,549,451,0.549000000,0.049000000,549,876,875,False
96,1,545,455,0.545000000,0.045000000,545,774,769,False
114,0,456,544,0.456000000,0.044000000,544,919,912,False
2,0,543,457,0.543000000,0.043000000,543,23,16,False
45,2,458,542,0.458000000,0.042000000,542,365,362,False
9,4,540,460,0.540000000,0.040000000,540,75,76,False
48,7,460,540,0.460000000,0.040000000,540,384,391,False
80,6,461,539,0.461000000,0.039000000,539,641,646,False
85,2,461,539,0.461000000,0.039000000,539,685,682,False
12,4,462,538,0.462000000,0.038000000,538,99,100,False
31,7,462,538,0.462000000,0.038000000,538,248,255,False
3,6,463,537,0.463000000,0.037000000,537,25,30,False
109,7,463,537,0.463000000,0.037000000,537,872,879,False
110,1,537,463,0.537000000,0.037000000,537,886,881,False
12,2,464,536,0.464000000,0.036000000,536,101,98,False
63,0,464,536,0.464000000,0.036000000,536,511,504,False
103,0,464,536,0.464000000,0.036000000,536,831,824,False
17,6,535,465,0.535000000,0.035000000,535,137,142,False
28,0,535,465,0.535000000,0.035000000,535,231,224,False
57,0,535,465,0.535000000,0.035000000,535,463,456,False
69,6,465,535,0.465000000,0.035000000,535,553,558,False
77,5,465,535,0.465000000,0.035000000,535,618,621,False
82,7,465,535,0.465000000,0.035000000,535,656,663,False
16,1,534,466,0.534000000,0.034000000,534,134,129,False
93,7,466,534,0.466000000,0.034000000,534,744,751,False
107,0,534,466,0.534000000,0.034000000,534,863,856,False
116,4,466,534,0.466000000,0.034000000,534,931,932,False
12,3,533,467,0.533000000,0.033000000,533,100,99,False
26,3,467,533,0.467000000,0.033000000,533,212,211,False
73,5,533,467,0.533000000,0.033000000,533,586,589,False
