byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,484,516,0.484000000,0.016000000,516,7,0,False
0,1,526,474,0.526000000,0.026000000,526,6,1,False
0,2,512,488,0.512000000,0.012000000,512,5,2,False
0,3,527,473,0.527000000,0.027000000,527,4,3,False
0,4,497,503,0.497000000,0.003000000,503,3,4,False
0,5,461,539,0.461000000,0.039000000,539,2,5,False
0,6,502,498,0.502000000,0.002000000,502,1,6,False
0,7,504,496,0.504000000,0.004000000,504,0,7,False
1,0,517,483,0.517000000,0.017000000,517,15,8,False
1,1,490,510,0.490000000,0.010000000,510,14,9,False
1,2,527,473,0.527000000,0.027000000,527,13,10,False
1,3,507,493,0.507000000,0.007000000,507,12,11,False
1,4,490,510,0.490000000,0.010000000,510,11,12,False
1,5,489,511,0.489000000,0.011000000,511,10,13,False
1,6,523,477,0.523000000,0.023000000,523,9,14,False
1,7,482,518,0.482000000,0.018000000,518,8,15,False
2,0,490,510,0.490000000,0.010000000,510,23,16,False
2,1,506,494,0.506000000,0.006000000,506,22,17,False
2,2,495,505,0.495000000,0.005000000,505,21,18,False
2,3,529,471,0.529000000,0.029000000,529,20,19,False
2,4,493,507,0.493000000,0.007000000,507,19,20,False
2,5,493,507,0.493000000,0.007000000,507,18,21,False
2,6,507,493,0.507000000,0.007000000,507,17,22,False
2,7,508,492,0.508000000,0.008000000,508,16,23,False
3,0,489,511,0.489000000,0.011000000,511,31,24,False
3,1,505,495,0.505000000,0.005000000,505,30,25,False
3,2,500,500,0.500000000,0.000000000,500,29,26,False
3,3,489,511,0.489000000,0.011000000,511,28,27,False
3,4,528,472,0.528000000,0.028000000,528,27,28,False
3,5,492,508,0.492000000,0.008000000,508,26,29,False
3,6,495,505,0.495000000,0.005000000,505,25,30,False
3,7,498,502,0.498000000,0.002000000,502,24,31,False
4,0,483,517,0.483000000,0.017000000,517,39,32,False
4,1,494,506,0.494000000,0.006000000,506,38,33,False
4,2,516,484,0.516000000,0.016000000,516,37,34,False
4,3,539,461,0.539000000,0.039000000,539,36,35,False
4,4,535,465,0.535000000,0.035000000,535,35,36,False
4,5,495,505,0.495000000,0.005000000,505,34,37,False
4,6,497,503,0.497000000,0.003000000,503,33,38,False
4,7,518,482,0.518000000,0.018000000,518,32,39,False
5,0,488,512,0.488000000,0.012000000,512,47,40,False
5,1,475,525,0.475000000,0.025000000,525,46,41,False
5,2,508,492,0.508000000,0.008000000,508,45,42,False
5,3,510,490,0.510000000,0.010000000,510,44,43,False
5,4,516,484,0.516000000,0.016000000,516,43,44,False
5,5,500,500,0.500000000,0.000000000,500,42,45,False
5,6,515,485,0.515000000,0.015000000,515,41,46,False
5,7,487,513,0.487000000,0.013000000,513,40,47,False
6,0,503,497,0.503000000,0.003000000,503,55,48,False
6,1,500,500,0.500000000,0.000000000,500,54,49,False
6,2,498,502,0.498000000,0.002000000,502,53,50,False
6,3,513,487,0.513000000,0.013000000,513,52,51,False
6,4,507,493,0.507000000,0.007000000,507,51,52,False
6,5,496,504,0.496000000,0.004000000,504,50,53,False
6,6,506,494,0.506000000,0.006000000,506,49,54,False
